idCompte,descriptionCompte,nomBanque,idUtilisateur,dateHeureCreation,dateHeureMAJ,montantInitial,dernierMontantCalculé
33,,HSBC,15,2025-06-17 12:39:15,2025-06-17 12:39:15,325.0,325.0
34,,Lydia,16,2025-06-17 12:39:15,2025-06-17 12:39:15,4759.0,4759.0
35,,Orange Bank,16,2025-06-17 12:39:15,2025-06-17 12:39:15,5955.0,5955.0
36,,BoursoBank,16,2025-06-17 12:39:15,2025-06-17 12:39:15,3828.0,3828.0
37,,Allianz,17,2025-06-17 12:39:15,2025-06-17 12:39:15,5508.0,5508.0
38,,Groupama,18,2025-06-17 12:39:15,2025-06-17 12:39:15,3893.0,3893.0
39,,La Banque Postale,18,2025-06-17 12:39:15,2025-06-17 12:39:15,8375.0,8375.0
40,,BNP Paribas,19,2025-06-17 12:39:15,2025-06-17 12:39:15,2358.0,2358.0
41,,Hello Bank,19,2025-06-17 12:39:15,2025-06-17 12:39:15,9622.0,9622.0
42,,LCL,19,2025-06-17 12:39:15,2025-06-17 12:39:15,1620.0,1620.0
43,,Banque Populaire,20,2025-06-17 12:39:15,2025-06-17 12:39:15,797.0,797.0
44,,Etoro,21,2025-06-17 12:39:15,2025-06-17 12:39:15,3383.0,3383.0
45,,N26,21,2025-06-17 12:39:15,2025-06-17 12:39:15,2107.0,2107.0
46,,La Banque Postale,22,2025-06-17 12:39:15,2025-06-17 12:39:15,9438.0,9438.0
47,,Caisse d'épargne,23,2025-06-17 12:39:15,2025-06-17 12:39:15,1919.0,1919.0
48,,Société Générale,24,2025-06-17 12:39:15,2025-06-17 12:39:15,9274.0,9274.0
49,,Lydia,24,2025-06-17 12:39:15,2025-06-17 12:39:15,4533.0,4533.0
50,,Hello Bank,25,2025-06-17 12:39:15,2025-06-17 12:39:15,5656.0,5656.0
51,,Revolut,25,2025-06-17 12:39:15,2025-06-17 12:39:15,6228.0,6228.0
52,,Orange Bank,25,2025-06-17 12:39:15,2025-06-17 12:39:15,7609.0,7609.0
53,,Lydia,26,2025-06-17 12:39:15,2025-06-17 12:39:15,8196.0,8196.0
54,,BoursoBank,26,2025-06-17 12:39:15,2025-06-17 12:39:15,8232.0,8232.0
55,,Crédit Agricole,27,2025-06-17 12:39:15,2025-06-17 12:39:15,3224.0,3224.0
56,,ING,28,2025-06-17 12:39:15,2025-06-17 12:39:15,8859.0,8859.0
57,,Groupama,29,2025-06-17 12:39:15,2025-06-17 12:39:15,8293.0,8293.0
58,,Lydia,29,2025-06-17 12:39:15,2025-06-17 12:39:15,4420.0,4420.0
59,,Allianz,29,2025-06-17 12:39:15,2025-06-17 12:39:15,1495.0,1495.0
60,,La Banque Postale,30,2025-06-17 12:39:15,2025-06-17 12:39:15,410.0,410.0
61,,Société Générale,31,2025-06-17 12:39:15,2025-06-17 12:39:15,8141.0,8141.0
62,,BoursoBank,32,2025-06-17 12:39:15,2025-06-17 12:39:15,9372.0,9372.0
63,,LCL,33,2025-06-17 12:39:15,2025-06-17 12:39:15,3841.0,3841.0
64,,AXA Banque,33,2025-06-17 12:39:15,2025-06-17 12:39:15,8887.0,8887.0
65,,Orange Bank,33,2025-06-17 12:39:15,2025-06-17 12:39:15,7144.0,7144.0
66,,Allianz,34,2025-06-17 12:39:15,2025-06-17 12:39:15,134.0,134.0
67,,HSBC,34,2025-06-17 12:39:15,2025-06-17 12:39:15,1782.0,1782.0
68,,Groupama,34,2025-06-17 12:39:15,2025-06-17 12:39:15,3660.0,3660.0
69,,HSBC,35,2025-06-17 12:39:15,2025-06-17 12:39:15,5911.0,5911.0
70,,Orange Bank,36,2025-06-17 12:39:15,2025-06-17 12:39:15,7724.0,7724.0
71,,Caisse d'épargne,37,2025-06-17 12:39:15,2025-06-17 12:39:15,4012.0,4012.0
72,,Lydia,38,2025-06-17 12:39:15,2025-06-17 12:39:15,4970.0,4970.0
73,,BNP Paribas,38,2025-06-17 12:39:15,2025-06-17 12:39:15,3633.0,3633.0
74,,HSBC,39,2025-06-17 12:39:15,2025-06-17 12:39:15,9490.0,9490.0
75,,Groupama,39,2025-06-17 12:39:15,2025-06-17 12:39:15,4212.0,4212.0
76,,BNP Paribas,40,2025-06-17 12:39:15,2025-06-17 12:39:15,6790.0,6790.0
77,,Crédit Mutuel,40,2025-06-17 12:39:15,2025-06-17 12:39:15,5365.0,5365.0
78,,Orange Bank,41,2025-06-17 12:39:15,2025-06-17 12:39:15,290.0,290.0
79,,Etoro,41,2025-06-17 12:39:15,2025-06-17 12:39:15,5579.0,5579.0
80,,Revolut,42,2025-06-17 12:39:15,2025-06-17 12:39:15,3011.0,3011.0
81,,Banque Populaire,42,2025-06-17 12:39:15,2025-06-17 12:39:15,3993.0,3993.0
82,,ING,43,2025-06-17 12:39:15,2025-06-17 12:39:15,2152.0,2152.0
83,,Crédit Agricole,44,2025-06-17 12:39:15,2025-06-17 12:39:15,1841.0,1841.0
84,,HSBC,44,2025-06-17 12:39:15,2025-06-17 12:39:15,8217.0,8217.0
85,,Hello Bank,45,2025-06-17 12:39:15,2025-06-17 12:39:15,9649.0,9649.0
86,,Caisse d'épargne,45,2025-06-17 12:39:15,2025-06-17 12:39:15,5027.0,5027.0
87,,Etoro,46,2025-06-17 12:39:15,2025-06-17 12:39:15,2792.0,2792.0
88,,Revolut,47,2025-06-17 12:39:15,2025-06-17 12:39:15,56.0,56.0
89,,Lydia,47,2025-06-17 12:39:15,2025-06-17 12:39:15,2614.0,2614.0
90,,La Banque Postale,47,2025-06-17 12:39:15,2025-06-17 12:39:15,1791.0,1791.0
91,,ING,48,2025-06-17 12:39:15,2025-06-17 12:39:15,9213.0,9213.0
92,,Revolut,48,2025-06-17 12:39:15,2025-06-17 12:39:15,4841.0,4841.0
93,,Groupama,48,2025-06-17 12:39:15,2025-06-17 12:39:15,8522.0,8522.0
94,,Crédit Mutuel,49,2025-06-17 12:39:15,2025-06-17 12:39:15,2195.0,2195.0
95,,HSBC,49,2025-06-17 12:39:15,2025-06-17 12:39:15,3771.0,3771.0
96,,Fortuneo,50,2025-06-17 12:39:15,2025-06-17 12:39:15,9243.0,9243.0
97,,Allianz,50,2025-06-17 12:39:15,2025-06-17 12:39:15,7004.0,7004.0
98,,Crédit Agricole,50,2025-06-17 12:39:15,2025-06-17 12:39:15,4099.0,4099.0
99,,Groupama,51,2025-06-17 12:39:15,2025-06-17 12:39:15,8620.0,8620.0
100,,Revolut,52,2025-06-17 12:39:15,2025-06-17 12:39:15,6559.0,6559.0
101,,Lydia,53,2025-06-17 12:39:15,2025-06-17 12:39:15,5535.0,5535.0
102,,Revolut,53,2025-06-17 12:39:15,2025-06-17 12:39:15,1892.0,1892.0
103,,ING,54,2025-06-17 12:39:15,2025-06-17 12:39:15,3406.0,3406.0
104,,Crédit Agricole,55,2025-06-17 12:39:15,2025-06-17 12:39:15,2939.0,2939.0
105,,Lydia,55,2025-06-17 12:39:15,2025-06-17 12:39:15,1914.0,1914.0
106,,Allianz,56,2025-06-17 12:39:15,2025-06-17 12:39:15,879.0,879.0
107,,ING,57,2025-06-17 12:39:15,2025-06-17 12:39:15,1525.0,1525.0
108,,Allianz,57,2025-06-17 12:39:15,2025-06-17 12:39:15,6640.0,6640.0
109,,Etoro,58,2025-06-17 12:39:15,2025-06-17 12:39:15,9126.0,9126.0
110,,B FOR Bank,58,2025-06-17 12:39:15,2025-06-17 12:39:15,8507.0,8507.0
111,,LCL,58,2025-06-17 12:39:15,2025-06-17 12:39:15,4614.0,4614.0
112,,Crédit Agricole,59,2025-06-17 12:39:15,2025-06-17 12:39:15,4320.0,4320.0
113,,N26,59,2025-06-17 12:39:15,2025-06-17 12:39:15,2084.0,2084.0
114,,Société Générale,59,2025-06-17 12:39:15,2025-06-17 12:39:15,673.0,673.0
115,,BNP Paribas,60,2025-06-17 12:39:15,2025-06-17 12:39:15,5372.0,5372.0
116,,Etoro,60,2025-06-17 12:39:15,2025-06-17 12:39:15,9276.0,9276.0
117,,Crédit Mutuel,61,2025-06-17 12:39:15,2025-06-17 12:39:15,1329.0,1329.0
118,,Fortuneo,61,2025-06-17 12:39:15,2025-06-17 12:39:15,2865.0,2865.0
119,,BoursoBank,62,2025-06-17 12:39:15,2025-06-17 12:39:15,9869.0,9869.0
120,,Caisse d'épargne,62,2025-06-17 12:39:15,2025-06-17 12:39:15,584.0,584.0
121,,ING,63,2025-06-17 12:39:15,2025-06-17 12:39:15,8521.0,8521.0
122,,Crédit Agricole,63,2025-06-17 12:39:15,2025-06-17 12:39:15,8929.0,8929.0
123,,HSBC,64,2025-06-17 12:39:15,2025-06-17 12:39:15,2074.0,2074.0
124,,Crédit Mutuel,64,2025-06-17 12:39:15,2025-06-17 12:39:15,9009.0,9009.0
125,,Revolut,64,2025-06-17 12:39:15,2025-06-17 12:39:15,1578.0,1578.0
126,,Fortuneo,65,2025-06-17 12:39:15,2025-06-17 12:39:15,5992.0,5992.0
127,,N26,65,2025-06-17 12:39:15,2025-06-17 12:39:15,4690.0,4690.0
128,,Allianz,66,2025-06-17 12:39:15,2025-06-17 12:39:15,6234.0,6234.0
129,,HSBC,67,2025-06-17 12:39:15,2025-06-17 12:39:15,6204.0,6204.0
130,,Orange Bank,68,2025-06-17 12:39:15,2025-06-17 12:39:15,8652.0,8652.0
131,,B FOR Bank,68,2025-06-17 12:39:15,2025-06-17 12:39:15,4169.0,4169.0
132,,Hello Bank,68,2025-06-17 12:39:15,2025-06-17 12:39:15,7594.0,7594.0
133,,Etoro,69,2025-06-17 12:39:15,2025-06-17 12:39:15,6700.0,6700.0
134,,Fortuneo,69,2025-06-17 12:39:15,2025-06-17 12:39:15,1975.0,1975.0
135,,BNP Paribas,70,2025-06-17 12:39:15,2025-06-17 12:39:15,7325.0,7325.0
136,,BoursoBank,70,2025-06-17 12:39:15,2025-06-17 12:39:15,4490.0,4490.0
137,,BNP Paribas,71,2025-06-17 12:39:15,2025-06-17 12:39:15,7702.0,7702.0
138,,B FOR Bank,72,2025-06-17 12:39:15,2025-06-17 12:39:15,4601.0,4601.0
139,,Caisse d'épargne,72,2025-06-17 12:39:15,2025-06-17 12:39:15,3165.0,3165.0
140,,ING,72,2025-06-17 12:39:15,2025-06-17 12:39:15,1483.0,1483.0
141,,HSBC,73,2025-06-17 12:39:15,2025-06-17 12:39:15,4965.0,4965.0
142,,Orange Bank,73,2025-06-17 12:39:15,2025-06-17 12:39:15,3103.0,3103.0
143,,Etoro,74,2025-06-17 12:39:15,2025-06-17 12:39:15,8047.0,8047.0
144,,Crédit Mutuel,74,2025-06-17 12:39:15,2025-06-17 12:39:15,1944.0,1944.0
145,,Société Générale,74,2025-06-17 12:39:15,2025-06-17 12:39:15,9164.0,9164.0
146,,BoursoBank,75,2025-06-17 12:39:15,2025-06-17 12:39:15,1020.0,1020.0
147,,BNP Paribas,75,2025-06-17 12:39:15,2025-06-17 12:39:15,1553.0,1553.0
148,,Allianz,76,2025-06-17 12:39:15,2025-06-17 12:39:15,3509.0,3509.0
149,,BNP Paribas,77,2025-06-17 12:39:15,2025-06-17 12:39:15,366.0,366.0
150,,Crédit Agricole,77,2025-06-17 12:39:15,2025-06-17 12:39:15,3978.0,3978.0
151,,B FOR Bank,77,2025-06-17 12:39:15,2025-06-17 12:39:15,3866.0,3866.0
152,,Allianz,78,2025-06-17 12:39:15,2025-06-17 12:39:15,8512.0,8512.0
153,,BNP Paribas,78,2025-06-17 12:39:15,2025-06-17 12:39:15,9706.0,9706.0
154,,Revolut,79,2025-06-17 12:39:15,2025-06-17 12:39:15,5315.0,5315.0
155,,Allianz,80,2025-06-17 12:39:15,2025-06-17 12:39:15,921.0,921.0
156,,N26,81,2025-06-17 12:39:15,2025-06-17 12:39:15,9274.0,9274.0
157,,La Banque Postale,81,2025-06-17 12:39:15,2025-06-17 12:39:15,9836.0,9836.0
158,,BNP Paribas,81,2025-06-17 12:39:15,2025-06-17 12:39:15,882.0,882.0
159,,HSBC,82,2025-06-17 12:39:15,2025-06-17 12:39:15,8755.0,8755.0
160,,BNP Paribas,82,2025-06-17 12:39:15,2025-06-17 12:39:15,8845.0,8845.0
161,,Allianz,82,2025-06-17 12:39:15,2025-06-17 12:39:15,6966.0,6966.0
162,,AXA Banque,83,2025-06-17 12:39:15,2025-06-17 12:39:15,1179.0,1179.0
163,,Société Générale,83,2025-06-17 12:39:15,2025-06-17 12:39:15,9083.0,9083.0
164,,HSBC,83,2025-06-17 12:39:15,2025-06-17 12:39:15,1381.0,1381.0
165,,Crédit Agricole,84,2025-06-17 12:39:15,2025-06-17 12:39:15,4459.0,4459.0
166,,HSBC,84,2025-06-17 12:39:15,2025-06-17 12:39:15,414.0,414.0
167,,AXA Banque,84,2025-06-17 12:39:15,2025-06-17 12:39:15,234.0,234.0
168,,Orange Bank,85,2025-06-17 12:39:15,2025-06-17 12:39:15,5393.0,5393.0
169,,Revolut,86,2025-06-17 12:39:15,2025-06-17 12:39:15,4307.0,4307.0
170,,La Banque Postale,87,2025-06-17 12:39:15,2025-06-17 12:39:15,6713.0,6713.0
171,,N26,87,2025-06-17 12:39:15,2025-06-17 12:39:15,4245.0,4245.0
172,,HSBC,88,2025-06-17 12:39:15,2025-06-17 12:39:15,7124.0,7124.0
173,,Allianz,88,2025-06-17 12:39:15,2025-06-17 12:39:15,8621.0,8621.0
174,,Hello Bank,88,2025-06-17 12:39:15,2025-06-17 12:39:15,8112.0,8112.0
175,,Crédit Mutuel,89,2025-06-17 12:39:15,2025-06-17 12:39:15,8221.0,8221.0
176,,Crédit Agricole,89,2025-06-17 12:39:15,2025-06-17 12:39:15,8901.0,8901.0
177,,Société Générale,90,2025-06-17 12:39:15,2025-06-17 12:39:15,7770.0,7770.0
178,,LCL,91,2025-06-17 12:39:15,2025-06-17 12:39:15,2864.0,2864.0
179,,La Banque Postale,91,2025-06-17 12:39:15,2025-06-17 12:39:15,9323.0,9323.0
180,,B FOR Bank,92,2025-06-17 12:39:15,2025-06-17 12:39:15,1923.0,1923.0
181,,Orange Bank,92,2025-06-17 12:39:15,2025-06-17 12:39:15,9462.0,9462.0
182,,LCL,93,2025-06-17 12:39:15,2025-06-17 12:39:15,2480.0,2480.0
183,,Caisse d'épargne,94,2025-06-17 12:39:15,2025-06-17 12:39:15,6359.0,6359.0
184,,Société Générale,94,2025-06-17 12:39:15,2025-06-17 12:39:15,7528.0,7528.0
185,,Allianz,95,2025-06-17 12:39:15,2025-06-17 12:39:15,8286.0,8286.0
186,,HSBC,95,2025-06-17 12:39:15,2025-06-17 12:39:15,1991.0,1991.0
187,,Crédit Agricole,96,2025-06-17 12:39:15,2025-06-17 12:39:15,8720.0,8720.0
188,,HSBC,96,2025-06-17 12:39:15,2025-06-17 12:39:15,6065.0,6065.0
189,,Groupama,96,2025-06-17 12:39:15,2025-06-17 12:39:15,5017.0,5017.0
190,,Crédit Agricole,97,2025-06-17 12:39:15,2025-06-17 12:39:15,808.0,808.0
191,,Orange Bank,97,2025-06-17 12:39:15,2025-06-17 12:39:15,4930.0,4930.0
192,,Hello Bank,98,2025-06-17 12:39:15,2025-06-17 12:39:15,8020.0,8020.0
193,,Fortuneo,99,2025-06-17 12:39:15,2025-06-17 12:39:15,3713.0,3713.0
194,,La Banque Postale,99,2025-06-17 12:39:15,2025-06-17 12:39:15,9400.0,9400.0
195,,Orange Bank,100,2025-06-17 12:39:15,2025-06-17 12:39:15,8206.0,8206.0
196,,HSBC,100,2025-06-17 12:39:15,2025-06-17 12:39:15,9141.0,9141.0
197,,Caisse d'épargne,100,2025-06-17 12:39:15,2025-06-17 12:39:15,5794.0,5794.0
198,,Lydia,101,2025-06-17 12:39:15,2025-06-17 12:39:15,7415.0,7415.0
199,,Revolut,101,2025-06-17 12:39:15,2025-06-17 12:39:15,6816.0,6816.0
200,,Caisse d'épargne,101,2025-06-17 12:39:15,2025-06-17 12:39:15,9077.0,9077.0
201,,AXA Banque,102,2025-06-17 12:39:15,2025-06-17 12:39:15,2537.0,2537.0
202,,N26,102,2025-06-17 12:39:15,2025-06-17 12:39:15,6539.0,6539.0
203,,Fortuneo,102,2025-06-17 12:39:15,2025-06-17 12:39:15,6952.0,6952.0
204,,HSBC,103,2025-06-17 12:39:15,2025-06-17 12:39:15,265.0,265.0
205,,B FOR Bank,103,2025-06-17 12:39:15,2025-06-17 12:39:15,8285.0,8285.0
206,,Crédit Agricole,103,2025-06-17 12:39:15,2025-06-17 12:39:15,3695.0,3695.0
207,,BNP Paribas,104,2025-06-17 12:39:15,2025-06-17 12:39:15,8008.0,8008.0
208,,Caisse d'épargne,105,2025-06-17 12:39:15,2025-06-17 12:39:15,9756.0,9756.0
209,,BoursoBank,106,2025-06-17 12:39:15,2025-06-17 12:39:15,7935.0,7935.0
210,,Caisse d'épargne,106,2025-06-17 12:39:15,2025-06-17 12:39:15,8049.0,8049.0
211,,Hello Bank,106,2025-06-17 12:39:15,2025-06-17 12:39:15,5331.0,5331.0
212,,Crédit Agricole,107,2025-06-17 12:39:15,2025-06-17 12:39:15,5688.0,5688.0
213,,N26,107,2025-06-17 12:39:15,2025-06-17 12:39:15,2049.0,2049.0
214,,Groupama,108,2025-06-17 12:39:15,2025-06-17 12:39:15,5366.0,5366.0
215,,Revolut,108,2025-06-17 12:39:15,2025-06-17 12:39:15,5427.0,5427.0
216,,Banque Populaire,108,2025-06-17 12:39:15,2025-06-17 12:39:15,1847.0,1847.0
217,,Lydia,109,2025-06-17 12:39:15,2025-06-17 12:39:15,9760.0,9760.0
218,,Société Générale,109,2025-06-17 12:39:15,2025-06-17 12:39:15,4976.0,4976.0
219,,BoursoBank,110,2025-06-17 12:39:15,2025-06-17 12:39:15,3342.0,3342.0
220,,Fortuneo,110,2025-06-17 12:39:15,2025-06-17 12:39:15,6873.0,6873.0
221,,Lydia,111,2025-06-17 12:39:15,2025-06-17 12:39:15,608.0,608.0
222,,La Banque Postale,111,2025-06-17 12:39:15,2025-06-17 12:39:15,217.0,217.0
223,,La Banque Postale,112,2025-06-17 12:39:15,2025-06-17 12:39:15,8904.0,8904.0
224,,HSBC,112,2025-06-17 12:39:15,2025-06-17 12:39:15,7141.0,7141.0
225,,Crédit Mutuel,112,2025-06-17 12:39:15,2025-06-17 12:39:15,3905.0,3905.0
226,,AXA Banque,113,2025-06-17 12:39:15,2025-06-17 12:39:15,460.0,460.0
227,,ING,113,2025-06-17 12:39:15,2025-06-17 12:39:15,6888.0,6888.0
228,,Banque Populaire,114,2025-06-17 12:39:15,2025-06-17 12:39:15,6050.0,6050.0
229,,AXA Banque,115,2025-06-17 12:39:15,2025-06-17 12:39:15,4185.0,4185.0
230,,Société Générale,115,2025-06-17 12:39:15,2025-06-17 12:39:15,6932.0,6932.0
231,,Banque Populaire,115,2025-06-17 12:39:15,2025-06-17 12:39:15,174.0,174.0
232,,ING,116,2025-06-17 12:39:15,2025-06-17 12:39:15,2517.0,2517.0
233,,BNP Paribas,116,2025-06-17 12:39:15,2025-06-17 12:39:15,6656.0,6656.0
234,,Allianz,116,2025-06-17 12:39:15,2025-06-17 12:39:15,7984.0,7984.0
235,,Etoro,117,2025-06-17 12:39:15,2025-06-17 12:39:15,1972.0,1972.0
236,,N26,117,2025-06-17 12:39:15,2025-06-17 12:39:15,267.0,267.0
237,,Fortuneo,117,2025-06-17 12:39:15,2025-06-17 12:39:15,8377.0,8377.0
238,,Lydia,118,2025-06-17 12:39:15,2025-06-17 12:39:15,1725.0,1725.0
239,,Orange Bank,119,2025-06-17 12:39:15,2025-06-17 12:39:15,1826.0,1826.0
240,,B FOR Bank,119,2025-06-17 12:39:15,2025-06-17 12:39:15,1431.0,1431.0
241,,Etoro,119,2025-06-17 12:39:15,2025-06-17 12:39:15,2285.0,2285.0
242,,Fortuneo,120,2025-06-17 12:39:15,2025-06-17 12:39:15,8900.0,8900.0
243,,La Banque Postale,121,2025-06-17 12:39:15,2025-06-17 12:39:15,8123.0,8123.0
244,,Groupama,121,2025-06-17 12:39:15,2025-06-17 12:39:15,9466.0,9466.0
245,,La Banque Postale,122,2025-06-17 12:39:15,2025-06-17 12:39:15,9610.0,9610.0
246,,BoursoBank,123,2025-06-17 12:39:15,2025-06-17 12:39:15,258.0,258.0
247,,Fortuneo,123,2025-06-17 12:39:15,2025-06-17 12:39:15,5433.0,5433.0
248,,Groupama,124,2025-06-17 12:39:15,2025-06-17 12:39:15,7571.0,7571.0
249,,N26,124,2025-06-17 12:39:15,2025-06-17 12:39:15,5813.0,5813.0
250,,Fortuneo,124,2025-06-17 12:39:15,2025-06-17 12:39:15,1076.0,1076.0
251,,Banque Populaire,125,2025-06-17 12:39:15,2025-06-17 12:39:15,561.0,561.0
252,,LCL,125,2025-06-17 12:39:15,2025-06-17 12:39:15,8635.0,8635.0
253,,ING,126,2025-06-17 12:39:15,2025-06-17 12:39:15,3473.0,3473.0
254,,Allianz,127,2025-06-17 12:39:15,2025-06-17 12:39:15,7338.0,7338.0
255,,BoursoBank,127,2025-06-17 12:39:15,2025-06-17 12:39:15,8349.0,8349.0
256,,Etoro,127,2025-06-17 12:39:15,2025-06-17 12:39:15,411.0,411.0
257,,HSBC,128,2025-06-17 12:39:15,2025-06-17 12:39:15,1515.0,1515.0
258,,Etoro,128,2025-06-17 12:39:15,2025-06-17 12:39:15,6490.0,6490.0
259,,Fortuneo,128,2025-06-17 12:39:15,2025-06-17 12:39:15,494.0,494.0
260,,LCL,129,2025-06-17 12:39:15,2025-06-17 12:39:15,4793.0,4793.0
261,,Orange Bank,130,2025-06-17 12:39:15,2025-06-17 12:39:15,1956.0,1956.0
262,,B FOR Bank,131,2025-06-17 12:39:15,2025-06-17 12:39:15,4260.0,4260.0
263,,Fortuneo,131,2025-06-17 12:39:15,2025-06-17 12:39:15,9524.0,9524.0
264,,La Banque Postale,132,2025-06-17 12:39:15,2025-06-17 12:39:15,8753.0,8753.0
265,,LCL,132,2025-06-17 12:39:15,2025-06-17 12:39:15,3661.0,3661.0
266,,Etoro,133,2025-06-17 12:39:15,2025-06-17 12:39:15,9758.0,9758.0
267,,La Banque Postale,134,2025-06-17 12:39:15,2025-06-17 12:39:15,4818.0,4818.0
268,,Caisse d'épargne,134,2025-06-17 12:39:15,2025-06-17 12:39:15,9810.0,9810.0
269,,Lydia,134,2025-06-17 12:39:15,2025-06-17 12:39:15,7397.0,7397.0
270,,LCL,135,2025-06-17 12:39:15,2025-06-17 12:39:15,7396.0,7396.0
271,,Revolut,135,2025-06-17 12:39:15,2025-06-17 12:39:15,3806.0,3806.0
272,,N26,136,2025-06-17 12:39:15,2025-06-17 12:39:15,6151.0,6151.0
273,,BNP Paribas,136,2025-06-17 12:39:15,2025-06-17 12:39:15,9862.0,9862.0
274,,Lydia,137,2025-06-17 12:39:15,2025-06-17 12:39:15,6181.0,6181.0
275,,Banque Populaire,138,2025-06-17 12:39:15,2025-06-17 12:39:15,4650.0,4650.0
276,,LCL,138,2025-06-17 12:39:15,2025-06-17 12:39:15,1477.0,1477.0
277,,Allianz,138,2025-06-17 12:39:15,2025-06-17 12:39:15,8953.0,8953.0
278,,Revolut,139,2025-06-17 12:39:15,2025-06-17 12:39:15,5871.0,5871.0
279,,BoursoBank,140,2025-06-17 12:39:15,2025-06-17 12:39:15,901.0,901.0
280,,Caisse d'épargne,140,2025-06-17 12:39:15,2025-06-17 12:39:15,5870.0,5870.0
281,,La Banque Postale,140,2025-06-17 12:39:15,2025-06-17 12:39:15,6859.0,6859.0
282,,Lydia,141,2025-06-17 12:39:15,2025-06-17 12:39:15,340.0,340.0
283,,B FOR Bank,141,2025-06-17 12:39:15,2025-06-17 12:39:15,9641.0,9641.0
284,,Allianz,142,2025-06-17 12:39:15,2025-06-17 12:39:15,7089.0,7089.0
285,,Revolut,142,2025-06-17 12:39:15,2025-06-17 12:39:15,3932.0,3932.0
286,,Lydia,142,2025-06-17 12:39:15,2025-06-17 12:39:15,8473.0,8473.0
287,,Hello Bank,143,2025-06-17 12:39:15,2025-06-17 12:39:15,8835.0,8835.0
288,,Lydia,143,2025-06-17 12:39:15,2025-06-17 12:39:15,7772.0,7772.0
289,,Orange Bank,143,2025-06-17 12:39:15,2025-06-17 12:39:15,7801.0,7801.0
290,,Groupama,144,2025-06-17 12:39:15,2025-06-17 12:39:15,6579.0,6579.0
291,,Caisse d'épargne,145,2025-06-17 12:39:15,2025-06-17 12:39:15,6994.0,6994.0
292,,Orange Bank,146,2025-06-17 12:39:15,2025-06-17 12:39:15,185.0,185.0
293,,N26,147,2025-06-17 12:39:15,2025-06-17 12:39:15,3303.0,3303.0
294,,Lydia,148,2025-06-17 12:39:15,2025-06-17 12:39:15,5415.0,5415.0
