idMouvement,dateMouvement,descriptionCompte,nomBanque,nomTiers,nomCategorie,nomSousCategorie,montant
1276,2022-07-01,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-10.21
908,2022-07-01,Compte 3,Banque C,JouetClub,Enfants,,-57.19
2800,2022-07-01,Compte 1,Banque B,Fnac,Cadeau,,-42.7
438,2022-07-01,Compte 3,Banque C,SFR,Internet,,-41.85
1610,2022-07-02,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-17.55
1325,2022-07-02,Compte 2,Banque A,Engie,Logement,,-431.17
1183,2022-07-03,Compte 3,Banque C,Divers,Divers,,-46.98
827,2022-07-03,Compte 2,Banque A,Lidl,Alimentation,,-74.07
1776,2022-07-04,Compte 1,Banque B,Cinéma,Loisir,,-37.24
1651,2022-07-04,Compte 3,Banque C,Zalando,Cadeau,,-179.7
2561,2022-07-05,Compte 3,Banque C,Animalis,Animaux,,-72.86
287,2022-07-05,Compte 1,Banque B,Banque Postale,Frais bancaires,,-6.74
904,2022-07-06,Compte 2,Banque A,Intermarché,Alimentation,,-64.02
713,2022-07-06,Compte 3,Banque C,Truffaut,Animaux,,-44.17
2541,2022-07-06,Compte 3,Banque C,MAIF,Assurance,,-37.32
480,2022-07-06,Compte 3,Banque C,Entreprise C,Salaire,,2515.02
2603,2022-07-06,Compte 3,Banque C,PEL,Épargne,,180.04
1782,2022-07-06,Compte 3,Banque C,Divers,Divers,,-92.32
2555,2022-07-06,Compte 3,Banque C,CPAM,Remboursement,,95.08
859,2022-07-06,Compte 3,Banque C,Truffaut,Animaux,,-11.45
164,2022-07-06,Compte 2,Banque A,SFR,Téléphone,,-26.4
571,2022-07-07,Compte 1,Banque B,MAIF,Assurance,,-101.61
973,2022-07-07,Compte 1,Banque B,Zalando,Cadeau,,-185.66
2358,2022-07-07,Compte 3,Banque C,Lidl,Alimentation,,-102.46
1679,2022-07-08,Compte 3,Banque C,JouetClub,Enfants,,-14.21
2637,2022-07-08,Compte 3,Banque C,Hôpital,Santé,,-106.9
2562,2022-07-08,Compte 2,Banque A,Zalando,Cadeau,,-142.88
445,2022-07-08,Compte 3,Banque C,H&M,Vêtements,,-213.97
1880,2022-07-09,Compte 1,Banque B,PEL,Épargne,,249.44
2539,2022-07-11,Compte 1,Banque B,DAB,Retrait,,-167.35
2738,2022-07-11,Compte 3,Banque C,JouetClub,Enfants,,-53.05
2840,2022-07-12,Compte 2,Banque A,Impôts,Impôts,,-889.54
830,2022-07-12,Compte 3,Banque C,Impôts,Impôts,,-1651.7
2057,2022-07-12,Compte 1,Banque B,Free,Internet,,-20.68
1204,2022-07-12,Compte 1,Banque B,Bouygues,Téléphone,,-10.57
1848,2022-07-13,Compte 2,Banque A,Orange,Téléphone,,-46.17
679,2022-07-13,Compte 3,Banque C,Uber,Transport,,-59.46
2581,2022-07-13,Compte 3,Banque C,DAB,Retrait,,-132.14
1214,2022-07-14,Compte 2,Banque A,Amazon,Cadeau,,-117.92
2689,2022-07-14,Compte 3,Banque C,Zara,Vêtements,,-109.88
2980,2022-07-14,Compte 2,Banque A,Amazon,Cadeau,,-107.77
1960,2022-07-15,Compte 2,Banque A,Spotify,Loisir,,-33.93
2035,2022-07-15,Compte 2,Banque A,Mutuelle,Remboursement,,118.93
1816,2022-07-15,Compte 3,Banque C,JouetClub,Enfants,,-53.2
894,2022-07-15,Compte 3,Banque C,AXA,Assurance,,-53.06
1495,2022-07-15,Compte 3,Banque C,Amazon,Cadeau,,-116.7
1505,2022-07-15,Compte 1,Banque B,AXA,Assurance,,-53.3
2916,2022-07-16,Compte 1,Banque B,Fnac,Cadeau,,-62.88
1032,2022-07-16,Compte 1,Banque B,PEL,Épargne,,389.1
2272,2022-07-16,Compte 1,Banque B,Banque Postale,Frais bancaires,,-10.2
211,2022-07-17,Compte 2,Banque A,Intermarché,Alimentation,,-117.98
1016,2022-07-17,Compte 3,Banque C,Divers,Divers,,-50.57
2760,2022-07-17,Compte 1,Banque B,DAB,Retrait,,-139.5
1550,2022-07-18,Compte 2,Banque A,Uniqlo,Vêtements,,-39.51
1421,2022-07-18,Compte 2,Banque A,DAB,Retrait,,-85.17
507,2022-07-19,Compte 1,Banque B,Livret A,Épargne,,377.83
2043,2022-07-19,Compte 1,Banque B,Orange,Téléphone,,-26.52
492,2022-07-19,Compte 1,Banque B,SNCF,Transport,,-9.19
610,2022-07-19,Compte 1,Banque B,Loyer,Logement,,-557.54
763,2022-07-19,Compte 2,Banque A,Impôts,Impôts,,-1504.82
1262,2022-07-20,Compte 2,Banque A,Orchestra,Enfants,,-85.51
1878,2022-07-20,Compte 3,Banque C,DAB,Retrait,,-154.8
2638,2022-07-21,Compte 3,Banque C,PEL,Épargne,,298.51
207,2022-07-21,Compte 3,Banque C,Zara,Vêtements,,-64.6
709,2022-07-21,Compte 2,Banque A,Orchestra,Enfants,,-64.91
812,2022-07-21,Compte 2,Banque A,Zara,Vêtements,,-106.89
748,2022-07-21,Compte 2,Banque A,Orange,Téléphone,,-43.78
1844,2022-07-21,Compte 3,Banque C,Fnac,Cadeau,,-140.6
252,2022-07-22,Compte 3,Banque C,Zalando,Cadeau,,-78.93
921,2022-07-23,Compte 1,Banque B,CPAM,Remboursement,,167.72
2930,2022-07-23,Compte 3,Banque C,SFR,Téléphone,,-13.68
1992,2022-07-24,Compte 3,Banque C,Allianz,Assurance,,-82.97
1989,2022-07-24,Compte 2,Banque A,PEL,Épargne,,134.51
1366,2022-07-25,Compte 2,Banque A,DAB,Retrait,,-157.65
1797,2022-07-25,Compte 1,Banque B,Lidl,Alimentation,,-114.59
2802,2022-07-26,Compte 3,Banque C,AXA,Assurance,,-31.45
1710,2022-07-26,Compte 3,Banque C,Loyer,Logement,,-877.04
1572,2022-07-27,Compte 2,Banque A,Animalis,Animaux,,-25.02
2191,2022-07-27,Compte 2,Banque A,Allianz,Assurance,,-94.82
2098,2022-07-28,Compte 3,Banque C,Livret A,Épargne,,62.58
2935,2022-07-28,Compte 2,Banque A,AXA,Assurance,,-50.26
907,2022-07-28,Compte 1,Banque B,Netflix,Loisir,,-66.76
1163,2022-07-28,Compte 3,Banque C,Orchestra,Enfants,,-109.62
2363,2022-07-28,Compte 3,Banque C,Booking,Vacances,,-769.28
1004,2022-07-29,Compte 2,Banque A,URSSAF,Impôts,,-1606.9
2601,2022-07-29,Compte 2,Banque A,Engie,Logement,,-619.35
2224,2022-07-30,Compte 2,Banque A,Bouygues,Téléphone,,-36.96
920,2022-07-30,Compte 3,Banque C,SNCF,Transport,,-59.13
2470,2022-07-31,Compte 3,Banque C,JouetClub,Enfants,,-44.14
994,2022-07-31,Compte 2,Banque A,URSSAF,Impôts,,-620.61
1524,2022-07-31,Compte 2,Banque A,Booking,Vacances,,-1101.19
2251,2022-08-01,Compte 2,Banque A,Truffaut,Animaux,,-84.28
2264,2022-08-01,Compte 1,Banque B,Truffaut,Animaux,,-94.9
2906,2022-08-01,Compte 3,Banque C,Hôpital,Santé,,-101.05
1432,2022-08-02,Compte 1,Banque B,CPAM,Remboursement,,147.03
884,2022-08-02,Compte 3,Banque C,Banque Postale,Frais bancaires,,-11.29
2204,2022-08-03,Compte 2,Banque A,Blablacar,Transport,,-28.01
997,2022-08-03,Compte 3,Banque C,Booking,Vacances,,-149.52
2727,2022-08-03,Compte 2,Banque A,Fnac,Cadeau,,-140.65
963,2022-08-04,Compte 1,Banque B,URSSAF,Impôts,,-758.84
2864,2022-08-04,Compte 3,Banque C,Banque Postale,Frais bancaires,,-10.66
738,2022-08-04,Compte 2,Banque A,Allianz,Assurance,,-94.54
1512,2022-08-05,Compte 3,Banque C,CPAM,Remboursement,,247.25
2828,2022-08-05,Compte 1,Banque B,Fnac,Cadeau,,-33.51
1290,2022-08-05,Compte 1,Banque B,Zalando,Cadeau,,-63.09
771,2022-08-05,Compte 2,Banque A,Orange,Internet,,-36.79
755,2022-08-05,Compte 2,Banque A,Zalando,Cadeau,,-197.69
979,2022-08-05,Compte 1,Banque B,Intermarché,Alimentation,,-71.58
2666,2022-08-05,Compte 1,Banque B,DAB,Retrait,,-244.21
1892,2022-08-06,Compte 1,Banque B,EDF,Logement,,-743.26
1161,2022-08-06,Compte 3,Banque C,PEL,Épargne,,380.79
886,2022-08-06,Compte 1,Banque B,Auchan,Alimentation,,-145.41
209,2022-08-07,Compte 1,Banque B,URSSAF,Impôts,,-1077.95
2693,2022-08-08,Compte 1,Banque B,PEL,Épargne,,118.24
2998,2022-08-09,Compte 3,Banque C,SFR,Internet,,-41.47
710,2022-08-12,Compte 2,Banque A,Divers,Divers,,-77.9
2989,2022-08-12,Compte 2,Banque A,Expedia,Vacances,,-1028.48
1179,2022-08-12,Compte 2,Banque A,MAIF,Assurance,,-108.4
644,2022-08-12,Compte 3,Banque C,Entreprise A,Salaire,,2901.08
217,2022-08-12,Compte 2,Banque A,Engie,Logement,,-401.15
1380,2022-08-13,Compte 1,Banque B,Spotify,Loisir,,-96.31
674,2022-08-13,Compte 2,Banque A,Bowling,Loisir,,-79.26
1107,2022-08-13,Compte 2,Banque A,MAIF,Assurance,,-66.34
554,2022-08-13,Compte 2,Banque A,Free,Internet,,-54.43
471,2022-08-13,Compte 3,Banque C,Cinéma,Loisir,,-71.78
1630,2022-08-14,Compte 3,Banque C,SNCF,Transport,,-76.44
775,2022-08-14,Compte 3,Banque C,Pharmacie,Santé,,-27.41
1879,2022-08-14,Compte 1,Banque B,DAB,Retrait,,-197.86
2393,2022-08-15,Compte 2,Banque A,PEL,Épargne,,339.66
1326,2022-08-15,Compte 1,Banque B,URSSAF,Impôts,,-1079.87
475,2022-08-15,Compte 3,Banque C,Impôts,Impôts,,-1168.46
1942,2022-08-15,Compte 3,Banque C,Banque Postale,Frais bancaires,,-3.01
975,2022-08-16,Compte 2,Banque A,Orange,Téléphone,,-13.28
2100,2022-08-16,Compte 2,Banque A,Free,Internet,,-57.37
1902,2022-08-16,Compte 2,Banque A,Truffaut,Animaux,,-87.48
1137,2022-08-16,Compte 1,Banque B,SFR,Téléphone,,-16.33
891,2022-08-17,Compte 2,Banque A,Entreprise B,Salaire,,2497.54
1850,2022-08-17,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-12.15
1013,2022-08-18,Compte 2,Banque A,SFR,Téléphone,,-16.96
2268,2022-08-21,Compte 1,Banque B,AXA,Assurance,,-64.03
2131,2022-08-21,Compte 1,Banque B,Intermarché,Alimentation,,-178.97
2289,2022-08-21,Compte 1,Banque B,Amazon,Cadeau,,-92.46
314,2022-08-21,Compte 3,Banque C,Banque Postale,Frais bancaires,,-18.35
1511,2022-08-22,Compte 3,Banque C,SFR,Téléphone,,-28.5
1606,2022-08-22,Compte 3,Banque C,Zalando,Cadeau,,-92.0
1714,2022-08-22,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-12.12
1999,2022-08-22,Compte 1,Banque B,SFR,Internet,,-44.79
2336,2022-08-23,Compte 2,Banque A,Carrefour,Alimentation,,-155.92
431,2022-08-24,Compte 3,Banque C,Allianz,Assurance,,-35.39
727,2022-08-24,Compte 3,Banque C,Spotify,Loisir,,-48.78
1279,2022-08-24,Compte 1,Banque B,Carrefour,Alimentation,,-111.57
1854,2022-08-24,Compte 2,Banque A,Free,Internet,,-53.8
1792,2022-08-24,Compte 3,Banque C,Zara,Vêtements,,-43.35
2066,2022-08-24,Compte 2,Banque A,Spotify,Loisir,,-71.53
1893,2022-08-25,Compte 2,Banque A,Intermarché,Alimentation,,-120.24
2448,2022-08-26,Compte 1,Banque B,Expedia,Vacances,,-613.55
2748,2022-08-27,Compte 3,Banque C,Fnac,Cadeau,,-158.8
2883,2022-08-28,Compte 3,Banque C,Amazon,Cadeau,,-76.49
1660,2022-08-28,Compte 2,Banque A,Orchestra,Enfants,,-16.94
720,2022-08-28,Compte 3,Banque C,Banque Postale,Frais bancaires,,-17.4
853,2022-08-29,Compte 3,Banque C,Booking,Vacances,,-583.01
2589,2022-08-29,Compte 2,Banque A,Orange,Internet,,-42.84
331,2022-08-29,Compte 2,Banque A,Pharmacie,Santé,,-127.08
388,2022-08-29,Compte 2,Banque A,Impôts,Impôts,,-286.91
1223,2022-08-30,Compte 3,Banque C,Bowling,Loisir,,-95.13
1037,2022-08-30,Compte 1,Banque B,Livret A,Épargne,,260.09
2174,2022-08-30,Compte 1,Banque B,Animalis,Animaux,,-87.51
1885,2022-08-31,Compte 1,Banque B,Orchestra,Enfants,,-87.02
578,2022-08-31,Compte 3,Banque C,Booking,Vacances,,-1109.43
2720,2022-09-01,Compte 3,Banque C,Orchestra,Enfants,,-126.94
1407,2022-09-01,Compte 2,Banque A,Entreprise B,Salaire,,2863.33
1200,2022-09-01,Compte 1,Banque B,Orange,Internet,,-45.29
160,2022-09-01,Compte 2,Banque A,Truffaut,Animaux,,-20.85
1244,2022-09-01,Compte 1,Banque B,CPAM,Remboursement,,171.47
493,2022-09-01,Compte 2,Banque A,Engie,Logement,,-835.8
2654,2022-09-02,Compte 3,Banque C,Orange,Internet,,-27.08
1517,2022-09-04,Compte 1,Banque B,Lidl,Alimentation,,-140.76
192,2022-09-04,Compte 3,Banque C,Divers,Divers,,-19.86
2503,2022-09-05,Compte 3,Banque C,Banque Postale,Frais bancaires,,-2.51
2114,2022-09-06,Compte 3,Banque C,Hôpital,Santé,,-131.74
1227,2022-09-06,Compte 1,Banque B,PEL,Épargne,,228.19
466,2022-09-07,Compte 3,Banque C,Bouygues,Téléphone,,-35.96
485,2022-09-07,Compte 3,Banque C,Livret A,Épargne,,483.94
1433,2022-09-07,Compte 3,Banque C,Divers,Divers,,-99.86
2530,2022-09-07,Compte 2,Banque A,Cinéma,Loisir,,-32.5
506,2022-09-08,Compte 1,Banque B,CPAM,Remboursement,,180.54
2439,2022-09-08,Compte 3,Banque C,Pharmacie,Santé,,-69.32
519,2022-09-08,Compte 1,Banque B,MAIF,Assurance,,-83.96
67,2022-09-08,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-13.16
374,2022-09-09,Compte 2,Banque A,Doctolib,Santé,,-143.47
1741,2022-09-10,Compte 3,Banque C,Spotify,Loisir,,-51.07
2964,2022-09-11,Compte 1,Banque B,Bouygues,Téléphone,,-25.32
876,2022-09-11,Compte 3,Banque C,PEL,Épargne,,255.83
1920,2022-09-11,Compte 2,Banque A,SFR,Internet,,-29.31
1099,2022-09-11,Compte 2,Banque A,Orchestra,Enfants,,-117.33
316,2022-09-12,Compte 2,Banque A,DAB,Retrait,,-33.44
104,2022-09-12,Compte 3,Banque C,Divers,Divers,,-92.17
1713,2022-09-12,Compte 2,Banque A,Orchestra,Enfants,,-92.06
1970,2022-09-13,Compte 2,Banque A,Doctolib,Santé,,-148.36
938,2022-09-13,Compte 2,Banque A,Expedia,Vacances,,-674.86
1162,2022-09-14,Compte 2,Banque A,Divers,Divers,,-80.13
1810,2022-09-14,Compte 2,Banque A,SFR,Internet,,-27.53
542,2022-09-14,Compte 1,Banque B,Banque Postale,Frais bancaires,,-13.67
2798,2022-09-14,Compte 3,Banque C,CPAM,Remboursement,,254.82
2548,2022-09-14,Compte 2,Banque A,Truffaut,Animaux,,-38.59
2159,2022-09-15,Compte 3,Banque C,Uber,Transport,,-57.07
427,2022-09-15,Compte 3,Banque C,Lidl,Alimentation,,-54.19
1002,2022-09-15,Compte 2,Banque A,Spotify,Loisir,,-57.53
1024,2022-09-15,Compte 2,Banque A,Uniqlo,Vêtements,,-25.81
1491,2022-09-15,Compte 3,Banque C,Lidl,Alimentation,,-157.94
2868,2022-09-15,Compte 3,Banque C,Intermarché,Alimentation,,-139.15
2317,2022-09-16,Compte 2,Banque A,Uniqlo,Vêtements,,-177.35
405,2022-09-16,Compte 3,Banque C,AXA,Assurance,,-26.37
279,2022-09-16,Compte 1,Banque B,Loyer,Logement,,-437.23
1567,2022-09-16,Compte 1,Banque B,EDF,Logement,,-322.66
22,2022-09-16,Compte 3,Banque C,SNCF,Transport,,-61.55
856,2022-09-17,Compte 3,Banque C,Truffaut,Animaux,,-56.71
2111,2022-09-17,Compte 1,Banque B,Pharmacie,Santé,,-145.41
2064,2022-09-18,Compte 1,Banque B,Zara,Vêtements,,-222.09
1824,2022-09-18,Compte 3,Banque C,H&M,Vêtements,,-71.62
1111,2022-09-19,Compte 1,Banque B,Divers,Divers,,-84.54
2762,2022-09-20,Compte 3,Banque C,SNCF,Transport,,-51.86
2767,2022-09-21,Compte 3,Banque C,Entreprise A,Salaire,,2581.04
1934,2022-09-22,Compte 1,Banque B,Booking,Vacances,,-298.18
1527,2022-09-22,Compte 2,Banque A,Amazon,Cadeau,,-66.17
210,2022-09-23,Compte 3,Banque C,Expedia,Vacances,,-1086.91
1041,2022-09-24,Compte 1,Banque B,Engie,Logement,,-817.49
2196,2022-09-24,Compte 2,Banque A,Allianz,Assurance,,-94.21
869,2022-09-24,Compte 3,Banque C,Animalis,Animaux,,-31.71
2017,2022-09-25,Compte 3,Banque C,DAB,Retrait,,-157.9
2339,2022-09-25,Compte 3,Banque C,CPAM,Remboursement,,168.86
632,2022-09-25,Compte 3,Banque C,URSSAF,Impôts,,-1164.71
893,2022-09-25,Compte 2,Banque A,URSSAF,Impôts,,-500.58
529,2022-09-26,Compte 1,Banque B,Entreprise A,Salaire,,2763.57
2473,2022-09-26,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-3.28
2090,2022-09-26,Compte 1,Banque B,Livret A,Épargne,,132.71
2449,2022-09-27,Compte 2,Banque A,Intermarché,Alimentation,,-117.35
1485,2022-09-27,Compte 2,Banque A,Banque Postale,Frais bancaires,,-19.26
255,2022-09-28,Compte 1,Banque B,Amazon,Cadeau,,-63.58
2988,2022-09-28,Compte 1,Banque B,Allianz,Assurance,,-80.75
741,2022-09-28,Compte 3,Banque C,H&M,Vêtements,,-235.34
1779,2022-09-28,Compte 2,Banque A,SFR,Internet,,-54.81
2793,2022-09-29,Compte 2,Banque A,Allianz,Assurance,,-106.12
2706,2022-09-29,Compte 2,Banque A,Airbnb,Vacances,,-443.0
1526,2022-09-29,Compte 2,Banque A,Banque Postale,Frais bancaires,,-13.13
2955,2022-09-30,Compte 2,Banque A,Engie,Logement,,-541.51
1101,2022-09-30,Compte 2,Banque A,Doctolib,Santé,,-33.54
2299,2022-09-30,Compte 2,Banque A,Airbnb,Vacances,,-1002.38
138,2022-10-01,Compte 3,Banque C,Pharmacie,Santé,,-71.18
394,2022-10-02,Compte 3,Banque C,PEL,Épargne,,134.83
2537,2022-10-02,Compte 3,Banque C,Truffaut,Animaux,,-51.83
2891,2022-10-03,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-14.88
178,2022-10-04,Compte 3,Banque C,Uber,Transport,,-53.3
1344,2022-10-04,Compte 2,Banque A,Lidl,Alimentation,,-87.34
1192,2022-10-04,Compte 1,Banque B,CPAM,Remboursement,,216.27
1944,2022-10-05,Compte 1,Banque B,Zalando,Cadeau,,-33.53
166,2022-10-06,Compte 1,Banque B,Blablacar,Transport,,-47.2
70,2022-10-06,Compte 3,Banque C,Divers,Divers,,-67.26
2117,2022-10-06,Compte 3,Banque C,Mutuelle,Remboursement,,89.38
151,2022-10-06,Compte 1,Banque B,H&M,Vêtements,,-21.39
1998,2022-10-06,Compte 1,Banque B,Expedia,Vacances,,-495.31
416,2022-10-06,Compte 3,Banque C,Mutuelle,Remboursement,,104.43
122,2022-10-06,Compte 1,Banque B,Bouygues,Téléphone,,-47.46
2518,2022-10-07,Compte 2,Banque A,Orchestra,Enfants,,-72.89
2188,2022-10-07,Compte 1,Banque B,Allianz,Assurance,,-41.74
1818,2022-10-08,Compte 3,Banque C,Booking,Vacances,,-215.91
637,2022-10-08,Compte 3,Banque C,Divers,Divers,,-10.7
1924,2022-10-08,Compte 3,Banque C,Entreprise A,Salaire,,2879.08
1647,2022-10-09,Compte 2,Banque A,CPAM,Remboursement,,48.95
1171,2022-10-10,Compte 3,Banque C,Uniqlo,Vêtements,,-91.71
2663,2022-10-10,Compte 2,Banque A,Mutuelle,Remboursement,,10.59
1976,2022-10-10,Compte 2,Banque A,Divers,Divers,,-12.65
1851,2022-10-11,Compte 1,Banque B,Orange,Internet,,-57.28
1945,2022-10-12,Compte 2,Banque A,SNCF,Transport,,-49.6
296,2022-10-13,Compte 3,Banque C,Divers,Divers,,-68.74
447,2022-10-14,Compte 3,Banque C,SFR,Internet,,-28.83
1357,2022-10-14,Compte 2,Banque A,Truffaut,Animaux,,-29.77
2799,2022-10-15,Compte 1,Banque B,Uber,Transport,,-12.76
2084,2022-10-16,Compte 3,Banque C,Orange,Téléphone,,-35.27
2669,2022-10-16,Compte 2,Banque A,Airbnb,Vacances,,-223.32
1807,2022-10-17,Compte 3,Banque C,Fnac,Cadeau,,-34.02
65,2022-10-18,Compte 3,Banque C,Orange,Internet,,-56.95
2511,2022-10-18,Compte 1,Banque B,Livret A,Épargne,,309.31
731,2022-10-19,Compte 2,Banque A,Divers,Divers,,-44.07
1128,2022-10-19,Compte 1,Banque B,PEL,Épargne,,338.55
1062,2022-10-19,Compte 1,Banque B,Pharmacie,Santé,,-116.53
411,2022-10-19,Compte 3,Banque C,CPAM,Remboursement,,75.76
580,2022-10-20,Compte 2,Banque A,H&M,Vêtements,,-175.48
2352,2022-10-20,Compte 3,Banque C,Uber,Transport,,-73.96
1206,2022-10-20,Compte 2,Banque A,Zalando,Cadeau,,-159.68
223,2022-10-21,Compte 1,Banque B,Livret A,Épargne,,474.31
1570,2022-10-21,Compte 1,Banque B,PEL,Épargne,,471.09
2570,2022-10-21,Compte 1,Banque B,Netflix,Loisir,,-62.62
2967,2022-10-21,Compte 1,Banque B,Livret A,Épargne,,386.17
1633,2022-10-22,Compte 1,Banque B,Divers,Divers,,-34.3
1426,2022-10-22,Compte 1,Banque B,DAB,Retrait,,-23.78
882,2022-10-23,Compte 3,Banque C,Bowling,Loisir,,-67.6
1809,2022-10-23,Compte 3,Banque C,Zara,Vêtements,,-170.9
2826,2022-10-24,Compte 1,Banque B,Banque Postale,Frais bancaires,,-15.05
544,2022-10-24,Compte 1,Banque B,Loyer,Logement,,-463.39
1289,2022-10-25,Compte 1,Banque B,Truffaut,Animaux,,-53.97
1142,2022-10-25,Compte 1,Banque B,Fnac,Cadeau,,-37.24
1239,2022-10-26,Compte 1,Banque B,JouetClub,Enfants,,-140.59
1419,2022-10-26,Compte 2,Banque A,Impôts,Impôts,,-790.72
2599,2022-10-26,Compte 1,Banque B,Entreprise A,Salaire,,2710.85
1817,2022-10-27,Compte 3,Banque C,Airbnb,Vacances,,-1029.96
1356,2022-10-27,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-3.99
48,2022-10-28,Compte 2,Banque A,Airbnb,Vacances,,-615.47
2645,2022-10-28,Compte 1,Banque B,Booking,Vacances,,-456.55
579,2022-10-28,Compte 2,Banque A,Blablacar,Transport,,-18.4
1856,2022-10-28,Compte 3,Banque C,Blablacar,Transport,,-60.98
1805,2022-10-28,Compte 2,Banque A,Free,Internet,,-54.0
1460,2022-10-30,Compte 1,Banque B,Allianz,Assurance,,-39.92
2460,2022-10-31,Compte 3,Banque C,Auchan,Alimentation,,-198.96
1394,2022-10-31,Compte 2,Banque A,Livret A,Épargne,,197.27
2789,2022-11-01,Compte 3,Banque C,JouetClub,Enfants,,-102.44
1588,2022-11-01,Compte 2,Banque A,SFR,Internet,,-47.83
1226,2022-11-01,Compte 3,Banque C,Bowling,Loisir,,-78.23
2104,2022-11-01,Compte 1,Banque B,AXA,Assurance,,-88.88
1384,2022-11-02,Compte 2,Banque A,Divers,Divers,,-34.82
1559,2022-11-02,Compte 3,Banque C,Orchestra,Enfants,,-89.4
2471,2022-11-02,Compte 2,Banque A,Auchan,Alimentation,,-183.43
2856,2022-11-02,Compte 1,Banque B,Hôpital,Santé,,-120.58
1048,2022-11-03,Compte 1,Banque B,Crédit Agricole,Frais bancaires,,-4.09
501,2022-11-03,Compte 2,Banque A,Entreprise C,Salaire,,2602.76
2455,2022-11-04,Compte 3,Banque C,Fnac,Cadeau,,-55.91
1991,2022-11-05,Compte 2,Banque A,Amazon,Cadeau,,-114.15
328,2022-11-05,Compte 2,Banque A,URSSAF,Impôts,,-581.29
2292,2022-11-06,Compte 1,Banque B,Loyer,Logement,,-785.06
2545,2022-11-06,Compte 1,Banque B,PEL,Épargne,,68.45
1872,2022-11-07,Compte 1,Banque B,Hôpital,Santé,,-24.31
1773,2022-11-07,Compte 1,Banque B,SFR,Téléphone,,-46.91
289,2022-11-07,Compte 1,Banque B,Animalis,Animaux,,-64.6
1248,2022-11-07,Compte 1,Banque B,Hôpital,Santé,,-42.53
214,2022-11-07,Compte 3,Banque C,Mutuelle,Remboursement,,281.19
1835,2022-11-08,Compte 1,Banque B,Divers,Divers,,-5.16
2270,2022-11-09,Compte 1,Banque B,PEL,Épargne,,450.05
898,2022-11-09,Compte 3,Banque C,CPAM,Remboursement,,220.89
792,2022-11-09,Compte 2,Banque A,Crédit Agricole,Frais bancaires,,-3.47
697,2022-11-10,Compte 1,Banque B,EDF,Logement,,-639.17
2594,2022-11-10,Compte 3,Banque C,Crédit Agricole,Frais bancaires,,-15.43
730,2022-11-10,Compte 2,Banque A,MAIF,Assurance,,-55.03
268,2022-11-10,Compte 1,Banque B,Intermarché,Alimentation,,-154.91
1017,2022-11-10,Compte 2,Banque A,Orchestra,Enfants,,-96.25
804,2022-11-10,Compte 3,Banque C,Impôts,Impôts,,-237.04
